iter	readout	layer_idx	layer	within	between	separation	z	p	minpair
160000	after	2	L01	-0.1022	-0.0149	-0.0872	-1.240	0.9590	0
160000	after	3	L02	-0.0975	-0.0215	-0.0761	-1.294	0.9470	0
160000	after	4	L03	-0.0877	-0.0305	-0.0573	-1.480	0.9770	0
160000	after	5	L04	-0.0777	-0.0383	-0.0394	-1.192	0.9130	0
160000	after	6	L05	-0.0426	-0.0715	0.0289	1.016	0.1600	0
160000	after	7	L06	-0.0048	-0.1048	0.1000	3.922	0.0000	2
160000	after	8	L07	0.0392	-0.1432	0.1824	6.392	0.0000	3
160000	after	9	L08	0.1076	-0.2012	0.3088	9.617	0.0000	9
160000	after	10	L09	0.1198	-0.2111	0.3309	9.921	0.0000	9
160000	after	11	L10	0.1268	-0.2167	0.3435	9.859	0.0000	9
160000	after	12	L11	0.1338	-0.2246	0.3583	9.783	0.0000	9
160000	after	13	L12	0.1349	-0.2253	0.3602	8.842	0.0000	9
160000	after	14	L13	0.1363	-0.2264	0.3627	9.220	0.0000	9
160000	after	15	L14	0.1349	-0.2251	0.3599	9.370	0.0000	9
160000	after	16	L15	0.1414	-0.2309	0.3723	10.236	0.0000	9
180000	final	0	embed	-0.0923	-0.0181	-0.0742	-1.259	0.9400	0
180000	final	1	L00	-0.0853	-0.0261	-0.0592	-0.843	0.8090	2
180000	final	2	L01	-0.0842	-0.0263	-0.0579	-0.842	0.8020	2
180000	final	3	L02	-0.0889	-0.0265	-0.0624	-1.205	0.9130	0
180000	final	4	L03	-0.0858	-0.0323	-0.0535	-1.538	0.9610	0
180000	final	5	L04	-0.0777	-0.0405	-0.0372	-1.207	0.9030	0
180000	final	6	L05	-0.0723	-0.0459	-0.0264	-1.077	0.8570	0
180000	final	7	L06	-0.0618	-0.0553	-0.0065	-0.255	0.5820	0
180000	final	8	L07	-0.0434	-0.0719	0.0284	1.284	0.1000	0
180000	final	9	L08	-0.0381	-0.0766	0.0384	1.841	0.0380	0
180000	final	10	L09	-0.0362	-0.0784	0.0423	2.093	0.0310	0
180000	final	11	L10	-0.0356	-0.0789	0.0433	2.067	0.0320	0
180000	final	12	L11	-0.0321	-0.0820	0.0499	2.438	0.0140	0
180000	final	13	L12	-0.0271	-0.0864	0.0592	3.020	0.0060	0
180000	final	14	L13	-0.0253	-0.0879	0.0626	3.204	0.0030	0
180000	final	15	L14	-0.0269	-0.0865	0.0596	3.128	0.0030	0
180000	final	16	L15	-0.0264	-0.0866	0.0601	2.743	0.0060	0
180000	after	0	embed	-0.1115	-0.0102	-0.1014	-0.738	0.6940	1
